,CANTON,EDAD,ES URBANO,SEXO,ES DEPENDIENTE,ESTADO VIVIENDA,E.HACINAMIENTO,ALFABETIZACIÓN,ESCOLARIDAD PROMEDIO,ASISTENCIA EDUCACION,FUERZA DE TRABAJO,SEGURO,N.EXTRANJERO,C.DISCAPACIDAD,POBLACION TOTAL,SUPERFICIE,DENSIDAD POBLACION,VIVIENDAS INDIVIDUALES OCUPADAS,PROMEDIO DE OCUPANTES,P.JEFAT.FEMENINA,P.JEFAT.COMPARTIDA,VOTO_R1,VOTO_R2
0,SAN RAMON,57,NO URBANO,M,NO DEPENDIENTE,V. BUEN ESTADO,V. NO HACINADA,ALFABETIZADO,7.9,EN EDUCACION REGULAR,EMPLEADO,NO ASEGURADO,NO EXTRANJERO,NO DISCAPACITADO,80566,1018.6,79,23301,3.44,28.4,8.3,LIBERACION NACIONAL,ACCION CIUDADANA
1,GOICOECHEA,62,URBANO,M,NO DEPENDIENTE,V. MAL ESTADO,V. NO HACINADA,ALFABETIZADO,8.7,EDUCACION REGULAR INACTIVA,EMPLEADO,NO ASEGURADO,NO EXTRANJERO,NO DISCAPACITADO,115084,31.5,3653,32520,3.53,37.1,7.3,LIBERACION NACIONAL,ACCION CIUDADANA
2,HEREDIA,42,URBANO,M,NO DEPENDIENTE,V. BUEN ESTADO,V. NO HACINADA,ALFABETIZADO,10.2,EDUCACION REGULAR INACTIVA,DESEMPLEADO,NO ASEGURADO,NO EXTRANJERO,NO DISCAPACITADO,123616,282.6,437,35216,3.5,34.9,9.2,LIBERACION NACIONAL,ACCION CIUDADANA
3,GOICOECHEA,30,URBANO,F,NO DEPENDIENTE,V. BUEN ESTADO,V. NO HACINADA,ALFABETIZADO,11.5,EN EDUCACION REGULAR,DESEMPLEADO,NO ASEGURADO,NO EXTRANJERO,NO DISCAPACITADO,115084,31.5,3653,32520,3.53,37.1,7.3,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL
4,ESCAZU,22,URBANO,M,NO DEPENDIENTE,V. BUEN ESTADO,V. NO HACINADA,ALFABETIZADO,13.4,EN EDUCACION REGULAR,EMPLEADO,NO ASEGURADO,NO EXTRANJERO,NO DISCAPACITADO,56509,34.5,1638,16565,3.4,32.5,8.7,ACCION CIUDADANA,ACCION CIUDADANA
5,LA UNION,45,URBANO,F,NO DEPENDIENTE,V. MAL ESTADO,V. NO HACINADA,ALFABETIZADO,8.2,EDUCACION REGULAR INACTIVA,DESEMPLEADO,NO ASEGURADO,NO EXTRANJERO,NO DISCAPACITADO,99399,44.8,2217,26979,3.67,31.5,8.4,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL
6,SAN JOSE,61,URBANO,F,NO DEPENDIENTE,V. BUEN ESTADO,V. NO HACINADA,ALFABETIZADO,10.2,EDUCACION REGULAR INACTIVA,DESEMPLEADO,NO ASEGURADO,NO EXTRANJERO,NO DISCAPACITADO,288054,44.6,6456,81903,3.5,39.6,6.9,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL
7,GUACIMO,29,NO URBANO,M,NO DEPENDIENTE,V. BUEN ESTADO,V. NO HACINADA,ALFABETIZADO,7.0,EDUCACION REGULAR INACTIVA,EMPLEADO,NO ASEGURADO,NO EXTRANJERO,DISCAPACITADO,41266,576.5,72,11797,3.47,27.6,5.4,RESTAURACION NACIONAL,RESTAURACION NACIONAL
8,CORREDORES,57,NO URBANO,M,NO DEPENDIENTE,V. MAL ESTADO,V. NO HACINADA,NO ALFABETIZADO,4.4,EDUCACION REGULAR INACTIVA,EMPLEADO,NO ASEGURADO,NO EXTRANJERO,NO DISCAPACITADO,41831,620.6,67,11849,3.52,28.3,6.1,RESTAURACION NACIONAL,ACCION CIUDADANA
9,BELEN,36,URBANO,F,NO DEPENDIENTE,V. MAL ESTADO,V. NO HACINADA,ALFABETIZADO,10.2,EDUCACION REGULAR INACTIVA,EMPLEADO,NO ASEGURADO,NO EXTRANJERO,NO DISCAPACITADO,21633,12.1,1780,6011,3.59,28.6,10.6,INTEGRACION NACIONAL,RESTAURACION NACIONAL
10,SANTO DOMINGO,56,URBANO,F,NO DEPENDIENTE,V. BUEN ESTADO,V. NO HACINADA,ALFABETIZADO,7.2,EDUCACION REGULAR INACTIVA,EMPLEADO,NO ASEGURADO,EXTRANJERO,NO DISCAPACITADO,40072,24.8,1613,11496,3.48,30.4,10.1,RESTAURACION NACIONAL,ACCION CIUDADANA
11,SAN JOSE,21,URBANO,M,NO DEPENDIENTE,V. BUEN ESTADO,V. NO HACINADA,ALFABETIZADO,12.3,EN EDUCACION REGULAR,EMPLEADO,NO ASEGURADO,NO EXTRANJERO,NO DISCAPACITADO,288054,44.6,6456,81903,3.5,39.6,6.9,ACCION CIUDADANA,ACCION CIUDADANA
12,LIBERIA,32,URBANO,F,NO DEPENDIENTE,V. MAL ESTADO,V. HACINADA,ALFABETIZADO,10.4,EDUCACION REGULAR INACTIVA,EMPLEADO,ASEGURADO,EXTRANJERO,NO DISCAPACITADO,62987,1436.5,44,16577,3.75,33.1,7.5,RESTAURACION NACIONAL,RESTAURACION NACIONAL
13,HEREDIA,25,URBANO,F,NO DEPENDIENTE,V. MAL ESTADO,V. NO HACINADA,ALFABETIZADO,9.2,EDUCACION REGULAR INACTIVA,EMPLEADO,NO ASEGURADO,NO EXTRANJERO,DISCAPACITADO,123616,282.6,437,35216,3.5,34.9,9.2,RESTAURACION NACIONAL,ACCION CIUDADANA
14,GRECIA,60,URBANO,F,NO DEPENDIENTE,V. BUEN ESTADO,V. NO HACINADA,ALFABETIZADO,5.6,EDUCACION REGULAR INACTIVA,DESEMPLEADO,NO ASEGURADO,NO EXTRANJERO,NO DISCAPACITADO,76898,395.7,194,21709,3.53,24.0,7.0,LIBERACION NACIONAL,RESTAURACION NACIONAL
15,SANTA BARBARA,60,URBANO,F,NO DEPENDIENTE,V. BUEN ESTADO,V. NO HACINADA,ALFABETIZADO,5.2,EDUCACION REGULAR INACTIVA,EMPLEADO,NO ASEGURADO,NO EXTRANJERO,NO DISCAPACITADO,36243,53.2,681,10107,3.58,24.6,8.0,LIBERACION NACIONAL,ACCION CIUDADANA
16,PURISCAL,29,NO URBANO,F,NO DEPENDIENTE,V. MAL ESTADO,V. NO HACINADA,ALFABETIZADO,11.2,EDUCACION REGULAR INACTIVA,DESEMPLEADO,ASEGURADO,NO EXTRANJERO,NO DISCAPACITADO,33004,553.7,60,9787,3.36,28.2,6.9,BLANCO,RESTAURACION NACIONAL
17,GOLFITO,47,URBANO,F,NO DEPENDIENTE,V. BUEN ESTADO,V. NO HACINADA,ALFABETIZADO,5.8,EDUCACION REGULAR INACTIVA,DESEMPLEADO,ASEGURADO,NO EXTRANJERO,DISCAPACITADO,39150,1754.0,22,11576,3.37,27.7,6.6,RESTAURACION NACIONAL,RESTAURACION NACIONAL
18,CARRILLO,20,NO URBANO,M,NO DEPENDIENTE,V. MAL ESTADO,V. NO HACINADA,ALFABETIZADO,10.8,EDUCACION REGULAR INACTIVA,DESEMPLEADO,NO ASEGURADO,NO EXTRANJERO,NO DISCAPACITADO,37122,577.5,64,10141,3.65,29.2,5.8,LIBERACION NACIONAL,ACCION CIUDADANA
19,OREAMUNO,22,URBANO,M,NO DEPENDIENTE,V. BUEN ESTADO,V. NO HACINADA,ALFABETIZADO,7.8,EN EDUCACION REGULAR,EMPLEADO,NO ASEGURADO,NO EXTRANJERO,NO DISCAPACITADO,45473,201.3,226,11232,4.04,26.0,7.2,LIBERACION NACIONAL,ACCION CIUDADANA
